City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Saint-Leu,RE,70.63,scattered clouds,-21.15,55.2833,La Caz Oceane
2,Sao Joao Da Barra,BR,73.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
6,Vanimo,PG,81.61,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
10,Lompoc,US,70.57,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
13,Rikitea,PF,76.26,scattered clouds,-23.1203,-134.9692,Pension Maro'i
14,Arraial Do Cabo,BR,73.11,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
20,Samarai,PG,79.99,overcast clouds,-10.6167,150.6667,Nuli Sapi
21,Puerto Ayora,EC,75.54,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
23,Bethel,US,79.25,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
25,Lorengau,PG,84.15,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
26,Touros,BR,76.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
29,Bubaque,GW,78.33,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
36,Santa Cruz,BO,77.23,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
40,Butaritari,KI,81.88,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
49,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
50,Maceio,BR,74.64,broken clouds,-9.6658,-35.7353,Poutur Pousada
56,Mae Sot,TH,74.17,broken clouds,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
57,Atuona,PF,80.02,scattered clouds,-9.8,-139.0333,Villa Enata
65,Kapaa,US,78.48,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
67,Chifeng,CN,72.0,broken clouds,42.2683,118.9636,Junyu Tiancheng Hotel
70,San Patricio,US,87.89,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
78,Inhambane,MZ,70.63,light rain,-23.865,35.3833,Oceano
80,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
82,Sinnamary,GF,78.21,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
83,Tahta,EG,81.16,clear sky,26.7693,31.5021,El Salam Hotel
84,Hithadhoo,MV,83.25,overcast clouds,-0.6,73.0833,Scoop Guest House
86,Balkanabat,TM,88.79,clear sky,39.5108,54.3671,Nebitchi Hotel
87,Kavieng,PG,84.6,broken clouds,-2.5744,150.7967,Nusa Island Retreat
93,Port Moresby,PG,77.65,overcast clouds,-9.4431,147.1797,Lamana Hotel
95,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
96,Vaini,TO,82.56,light rain,-21.2,-175.2,Keleti Beach Resort
97,Tura,IN,73.56,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
99,Bambous Virieux,MU,72.0,light rain,-20.3428,57.7575,Casa Tia Villa
105,Galveston,US,79.95,overcast clouds,29.3669,-94.9669,Comfort Inn & Suites Texas City
112,Omboue,GA,76.8,light rain,-1.5746,9.2618,Hotel Olako
115,Ishigaki,JP,82.4,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
122,Kavaratti,IN,81.93,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
123,Jamestown,US,78.19,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
125,Bengkulu,ID,75.72,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
130,Ambon,ID,75.34,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
135,Denpasar,ID,76.66,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
140,Bambari,CF,74.32,light rain,5.768,20.6757,Hotel-Restaurant BIBICH
143,Woodward,US,83.43,clear sky,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
146,Karratha,AU,70.92,clear sky,-20.7377,116.8463,ibis Styles Karratha
147,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
148,Nauta,PE,75.34,broken clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
150,Hilo,US,82.27,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
151,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
154,Mahebourg,MU,72.03,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
161,Irece,BR,75.15,scattered clouds,-11.3042,-41.8558,RADAR INN HOTEL
168,Qianan,CN,72.54,scattered clouds,44.9932,124.0581,Qian'an Hotel
173,Mitsamiouli,KM,77.92,clear sky,-11.3847,43.2844,Foyer ADM
176,Am Timan,TD,85.15,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
177,Lahaina,US,81.64,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
181,Alofi,NU,79.74,overcast clouds,-19.0595,-169.9187,Taloa Heights
182,Sao Francisco,BR,74.98,clear sky,-15.9486,-44.8644,Hotel Supremo
183,Cap Malheureux,MU,73.67,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
186,Keti Bandar,PK,83.84,broken clouds,24.1447,67.4497,Haji laloo memon house
187,Kokoda,PG,80.78,overcast clouds,-8.8785,147.7407,Daito Guest House
188,Portland,US,70.95,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
189,Westport,US,78.35,clear sky,41.1415,-73.3579,The Westport Inn
197,Saint-Philippe,RE,71.15,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
200,Waingapu,ID,76.82,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
201,Paraiso,CR,74.26,light rain,9.8383,-83.8656,Rinconcito Verde
204,Labuhan,ID,76.6,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
