City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
0,Saint-Leu,-21.15,55.2833,70.63,68,30,14.25,RE,scattered clouds,2021-05-21 23:05:46
1,Rudnogorsk,57.2639,103.7519,38.5,41,63,2.26,RU,broken clouds,2021-05-21 23:05:46
2,Sao Joao Da Barra,-21.6403,-41.0511,73.09,87,7,8.99,BR,clear sky,2021-05-21 23:04:47
3,Verkhoyansk,67.5447,133.385,38.3,54,23,7.65,RU,few clouds,2021-05-21 23:05:46
4,Bealanana,-14.55,48.7333,54.0,96,64,3.71,MG,broken clouds,2021-05-21 23:05:47
5,Hermanus,-34.4187,19.2345,52.9,66,24,4.63,ZA,few clouds,2021-05-21 23:05:47
6,Vanimo,-2.6741,141.3028,81.61,81,100,2.39,PG,overcast clouds,2021-05-21 23:05:47
7,Shenjiamen,29.9576,122.298,64.71,91,100,5.66,CN,light rain,2021-05-21 23:05:47
8,Aykhal,66.0,111.5,28.4,86,58,3.09,RU,broken clouds,2021-05-21 23:05:48
9,Camana,-16.6228,-72.7111,64.38,83,92,10.11,PE,overcast clouds,2021-05-21 23:05:48
10,Lompoc,34.6391,-120.4579,70.57,64,75,16.11,US,broken clouds,2021-05-21 23:05:48
11,Castro,-24.7911,-50.0119,59.4,66,3,4.27,BR,clear sky,2021-05-21 23:05:49
12,Glendive,47.1053,-104.7125,41.7,87,90,10.36,US,light rain,2021-05-21 23:01:18
13,Rikitea,-23.1203,-134.9692,76.26,59,30,9.53,PF,scattered clouds,2021-05-21 23:05:49
14,Arraial Do Cabo,-22.9661,-42.0278,73.11,86,27,10.45,BR,scattered clouds,2021-05-21 23:03:13
15,Udachnyy,66.4167,112.4,29.77,88,45,2.44,RU,scattered clouds,2021-05-21 23:05:49
16,Suhut,38.5311,30.5458,46.31,75,82,6.2,TR,broken clouds,2021-05-21 23:05:50
17,Dikson,73.5069,80.5464,26.04,93,97,7.47,RU,overcast clouds,2021-05-21 23:05:50
18,Albany,42.6001,-73.9662,83.01,78,83,2.51,US,broken clouds,2021-05-21 23:05:20
19,Mataura,-46.1927,168.8643,49.48,67,57,2.75,NZ,broken clouds,2021-05-21 23:05:50
20,Samarai,-10.6167,150.6667,79.99,82,89,15.79,PG,overcast clouds,2021-05-21 23:05:51
21,Puerto Ayora,-0.7393,-90.3518,75.54,88,37,8.01,EC,scattered clouds,2021-05-21 23:03:51
22,Ahipara,-35.1667,173.1667,61.07,72,100,12.37,NZ,moderate rain,2021-05-21 23:05:51
23,Bethel,41.3712,-73.414,79.25,48,1,6.91,US,clear sky,2021-05-21 23:03:14
24,Talpa,28.8257,-111.6257,96.57,38,85,5.99,MX,overcast clouds,2021-05-21 23:05:51
25,Lorengau,-2.0226,147.2712,84.15,69,72,5.19,PG,broken clouds,2021-05-21 23:01:15
26,Touros,-5.1989,-35.4608,76.1,79,5,12.01,BR,clear sky,2021-05-21 23:05:29
27,Xining,36.6167,101.7667,53.11,70,100,1.59,CN,overcast clouds,2021-05-21 23:05:52
28,Iqaluit,63.7506,-68.5145,25.7,63,99,8.99,CA,overcast clouds,2021-05-21 23:05:52
29,Bubaque,11.2833,-15.8333,78.33,82,22,15.77,GW,few clouds,2021-05-21 23:05:53
30,Khasan,42.4308,130.6434,56.77,74,42,2.21,RU,scattered clouds,2021-05-21 23:05:53
31,Whakatane,-37.9585,176.9854,62.65,87,100,5.99,NZ,overcast clouds,2021-05-21 23:05:54
32,Khatanga,71.9667,102.5,20.75,91,23,1.21,RU,few clouds,2021-05-21 23:05:54
33,Lagos,6.5833,3.75,79.93,82,5,5.84,NG,clear sky,2021-05-21 23:05:54
34,Ushuaia,-54.8,-68.3,42.51,98,100,2.75,AR,overcast clouds,2021-05-21 23:05:54
35,Talnakh,69.4865,88.3972,30.2,97,100,13.67,RU,snow,2021-05-21 23:05:55
36,Santa Cruz,-17.8,-63.1667,77.23,71,78,16.37,BO,broken clouds,2021-05-21 23:05:48
37,New Norfolk,-42.7826,147.0587,51.93,69,21,1.01,AU,few clouds,2021-05-21 23:05:55
38,Ndende,-2.4008,11.3581,74.05,99,100,2.3,GA,light rain,2021-05-21 23:05:55
39,Shingu,33.7333,135.9833,65.91,86,100,3.85,JP,overcast clouds,2021-05-21 23:05:56
40,Butaritari,3.0707,172.7902,81.88,80,100,26.37,KI,overcast clouds,2021-05-21 23:05:56
41,San Quintin,30.4833,-115.95,63.73,57,0,24.94,MX,clear sky,2021-05-21 23:05:56
42,Koslan,63.4564,48.8989,55.9,93,90,7.99,RU,overcast clouds,2021-05-21 23:05:56
43,Palma Di Montechiaro,37.1926,13.765,59.61,78,99,3.8,IT,overcast clouds,2021-05-21 23:05:56
44,Busselton,-33.65,115.3333,57.04,77,100,11.54,AU,light rain,2021-05-21 23:05:57
45,Punta Arenas,-53.15,-70.9167,42.91,88,40,4.43,CL,scattered clouds,2021-05-21 23:05:57
46,Atbasar,51.8,68.3333,61.38,47,0,5.55,KZ,clear sky,2021-05-21 23:05:57
47,Sitka,57.0531,-135.33,49.89,81,90,8.05,US,moderate rain,2021-05-21 23:05:58
48,Dinghai,26.2847,119.7936,68.61,92,100,6.71,CN,overcast clouds,2021-05-21 23:05:58
49,Bitung,1.4451,125.1824,76.05,84,100,2.71,ID,overcast clouds,2021-05-21 23:05:58
50,Maceio,-9.6658,-35.7353,74.64,86,75,9.75,BR,broken clouds,2021-05-21 23:03:25
51,Lebu,-37.6167,-73.65,52.61,82,94,4.36,CL,overcast clouds,2021-05-21 23:05:58
52,Kaitangata,-46.2817,169.8464,52.93,64,26,6.87,NZ,scattered clouds,2021-05-21 23:05:59
53,Tasiilaq,65.6145,-37.6368,33.96,70,100,14.58,GL,overcast clouds,2021-05-21 23:05:59
54,Bredasdorp,-34.5322,20.0403,46.27,74,13,5.26,ZA,few clouds,2021-05-21 23:05:59
